type,serial,LS
Soyuz-2-1b Fregat,78072-183,SF
Soyuz-2-1b Fregat,R15000-036,SF
Soyuz-2-1b Fregat,N15000-001,ST
Soyuz-2-1b Fregat,L15000-020,SF
Soyuz-2-1b Fregat,R15000-036,SF
Soyuz-2-1b Fregat,E15000-024,SF
Soyuz-2-1b Fregat,Ya15000-053,SF
Soyuz-2-1b Fregat,Ya15000-002,ST
Soyuz-2-1b Fregat,78072-176,SF
Soyuz-2-1b Fregat,N15000-046,SF
Soyuz-2-1b Fregat,U15000-048,ST
Soyuz-2-1b Fregat,76058-145,SF
Soyuz-2-1b Fregat,N15000-049,ST
Soyuz-2-1b Fregat,,SF
Soyuz-2-1b Fregat,T15000-025,SF
Soyuz-2-1b Fregat,G15000-031,SF
Soyuz-2-1b Fregat,Kh15000-066,SF
Soyuz-2-1b Fregat,V15000-004,ST
Soyuz-2-1b Fregat,R15000-032,ST
Soyuz-2-1b Fregat,V15000-005,ST
Soyuz-2-1b Fregat,V15000-006,ST
Soyuz-2-1b Fregat,V15000-007,ST
Soyuz-2-1b Fregat,Kh15000-008,ST
Soyuz-2-1b Fregat,N15000-050,ST
Soyuz-2-1b Fregat,N15000-051,ST
Soyuz-2-1b Fregat,Kh15000-009,ST
Soyuz-2-1b Fregat,,SF
Soyuz-2-1b Fregat,N15000-052,ST
Soyuz-2-1b Fregat,,SF
Soyuz-2-1b Fregat,Ya15000-055,ST
Soyuz-2-1b Fregat,Ya15000-056,SF
Soyuz-2-1b Fregat,Kh15000-011,SF
Soyuz-2-1b Fregat,,SF
Soyuz-2-1b Fregat,N15000-047,SF
CZ-3B/G2,3B-Y28,Xi LC-2
Proton-M Briz-M (P2),535-20,Ba LC-200/39
Proton-M Briz-M (P2),935-03,Ba LC-200/39
Proton-M Briz-M (P2),935-04,Ba LC-200/39
Proton-M Briz-M (P2),935-05,Ba LC-200/39
Proton-M Briz-M (P2),935-06,Ba LC-200/39
Proton-M Briz-M (P2),935-07,Ba LC-200/39
Proton-M Briz-M (P2),935-08,Ba LC-200/39
Proton-M Briz-M (P2),935-09,Ba LC-200/39
Proton-M Briz-M (P2),935-10,Ba LC-200/39
Proton-M Briz-M (P2),935-11,Ba LC-200/39
Proton-M Briz-M (P2),935-12,Ba LC-200/39
Proton-M Briz-M (P2),935-13,Ba LC-200/39
Atlas-5(421)¹,AV-011,CC SLC-41
Atlas-5(421)¹,AV-014,CC SLC-41
Atlas-5(421)¹,AV-016,CC SLC-41
Atlas-5(421)¹,AV-053,CC SLC-41
Atlas-5(421)¹,AV-059,CC SLC-41
Atlas-5(421)¹,AV-065,CC SLC-41
Atlas-5(421)¹,AV-075,CC SLC-41
Atlas-5(421)¹,AV-091,CC SLC-41
Atlas-5(421)²,AV-097,CC SLC-41
Ariane-5ES,V-181/528,Ko ELA-3
Ariane-5ES,V-200/544,Ko ELA-3
Ariane-5ES,VA-205/553,Ko ELA-3
Ariane-5ES,VA-213/592,Ko ELA-3
Ariane-5ES,VA-219/593,Ko ELA-3
Ariane-5ES,VA-233/594,Ko ELA-3
Ariane-5ES,VA-240/595,Ko ELA-3
Ariane-5ES,VA-244/596,Ko ELA-3
Soyuz-2-1b,77057-145,ST
Soyuz-2-1b,78031-216,ST
Soyuz-2-1b,I15000-013,Ba LC-31/6
Soyuz-2-1b,78031-199,ST
Soyuz-2-1b,L15000-009,ST
Soyuz-2-1b,76058-156,ST
Soyuz-2-1b,T15000-016,Ba LC-31/6
Soyuz-2-1b,77069-203,ST
Soyuz-2-1b,78031-216,ST
Soyuz-2-1b,,ST
Soyuz-2-1b,,ST
Soyuz-2-1b,Ya15000-054,ST
Soyuz-2-1b,,ST
Soyuz-2-1b,76093-148,ST
Proton-M Briz-M (P2m),935-02,Ba LC-200/39
Proton-M Briz-M (P3),935-01,Ba LC-200/39
Proton-M Briz-M (P3),935-14,Ba LC-200/39
Proton-M Briz-M (P3),935-15,Ba LC-200/39
Proton-M Briz-M (P3),935-16,Ba LC-81/24
Proton-M Briz-M (P3),935-17,Ba LC-200/39
Proton-M Briz-M (P3),935-19,Ba LC-200/39
Proton-M Briz-M (P3),935-18,Ba LC-200/39
Proton-M Briz-M (P3),935-21,Ba LC-200/39
Proton-M Briz-M (P3),935-22,Ba LC-200/39
Proton-M Briz-M (P3),935-20,Ba LC-200/39
Proton-M Briz-M (P3),935-25,Ba LC-200/39
Proton-M Briz-M (P3),935-23,Ba LC-81/24
Proton-M Briz-M (P3),935-24,Ba LC-200/39
Proton-M Briz-M (P3),935-28,Ba LC-200/39
Proton-M Briz-M (P3),935-27,Ba LC-200/39
Proton-M Briz-M (P3),935-29,Ba LC-81/24
Proton-M Briz-M (P3),935-30,Ba LC-81/24
Proton-M Briz-M (P3),935-31,Ba LC-81/24
Proton-M Briz-M (P3),935-26,Ba LC-81/24
